,2/17/2022,2/24/2022,3/3/2022,3/10/2022,3/17/2022,3/24/2022,3/31/2022,4/7/2022,4/14/2022,4/21/2022,4/28/2022,5/5/2022,5/12/2022,5/19/2022,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
SNOTEL:899_WA_SNTL,21.5,,,,,,,,,,,,,,,,,,,
SNOTEL:901_MT_SNTL,21.2,,,,,,,,,,,,,,,,,,,
SNOTEL:902_AZ_SNTL,2.1,,,,,,,,,,,,,,,,,,,
SNOTEL:904_CO_SNTL,14.4,,,,,,,,,,,,,,,,,,,
SNOTEL:905_CO_SNTL,9.3,,,,,,,,,,,,,,,,,,,
SNOTEL:906_UT_SNTL,6.8,,,,,,,,,,,,,,,,,,,
SNOTEL:907_UT_SNTL,5.6,,,,,,,,,,,,,,,,,,,
SNOTEL:909_WA_SNTL,21.7,,,,,,,,,,,,,,,,,,,
SNOTEL:911_WA_SNTL,23.6,,,,,,,,,,,,,,,,,,,
SNOTEL:912_WA_SNTL,31.2,,,,,,,,,,,,,,,,,,,
SNOTEL:913_CO_SNTL,9.5,,,,,,,,,,,,,,,,,,,
SNOTEL:915_ID_SNTL,7.6,,,,,,,,,,,,,,,,,,,
SNOTEL:917_MT_SNTL,3.2,,,,,,,,,,,,,,,,,,,
SNOTEL:918_MT_SNTL,8.8,,,,,,,,,,,,,,,,,,,
SNOTEL:919_MT_SNTL,5.8,,,,,,,,,,,,,,,,,,,
SNOTEL:920_SD_SNTL,4.4,,,,,,,,,,,,,,,,,,,
SNOTEL:921_NM_SNTL,2.1,,,,,,,,,,,,,,,,,,,
SNOTEL:922_NM_SNTL,7.7,,,,,,,,,,,,,,,,,,,
SNOTEL:923_WY_SNTL,8.5,,,,,,,,,,,,,,,,,,,
SNOTEL:924_MT_SNTL,7,,,,,,,,,,,,,,,,,,,
SNOTEL:925_OR_SNTL,8.7,,,,,,,,,,,,,,,,,,,
SNOTEL:926_ID_SNTL,14.3,,,,,,,,,,,,,,,,,,,
SNOTEL:927_AZ_SNTL,13.5,,,,,,,,,,,,,,,,,,,
SNOTEL:929_MT_SNTL,6,,,,,,,,,,,,,,,,,,,
SNOTEL:930_MT_SNTL,6.3,,,,,,,,,,,,,,,,,,,
SNOTEL:935_CO_SNTL,8.1,,,,,,,,,,,,,,,,,,,
SNOTEL:936_CO_SNTL,3.3,,,,,,,,,,,,,,,,,,,
SNOTEL:937_CO_SNTL,5.7,,,,,,,,,,,,,,,,,,,
SNOTEL:939_CO_SNTL,2.3,,,,,,,,,,,,,,,,,,,
SNOTEL:941_WA_SNTL,0,,,,,,,,,,,,,,,,,,,
SNOTEL:942_WA_SNTL,14.6,,,,,,,,,,,,,,,,,,,
SNOTEL:945_OR_SNTL,0.3,,,,,,,,,,,,,,,,,,,
SNOTEL:972_UT_SNTL,9.9,,,,,,,,,,,,,,,,,,,
SNOTEL:974_WA_SNTL,23.4,,,,,,,,,,,,,,,,,,,
SNOTEL:975_WA_SNTL,13.7,,,,,,,,,,,,,,,,,,,
SNOTEL:976_OR_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:978_ID_SNTL,15.4,,,,,,,,,,,,,,,,,,,
SNOTEL:981_MT_SNTL,4,,,,,,,,,,,,,,,,,,,
SNOTEL:982_WY_SNTL,3.1,,,,,,,,,,,,,,,,,,,
SNOTEL:984_WA_SNTL,10.6,,,,,,,,,,,,,,,,,,,
SNOTEL:988_ID_SNTL,24,,,,,,,,,,,,,,,,,,,
SNOTEL:989_ID_SNTL,12.7,,,,,,,,,,,,,,,,,,,
SNOTEL:990_WA_SNTL,30.3,,,,,,,,,,,,,,,,,,,
SNOTEL:991_WA_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:992_UT_SNTL,6.6,,,,,,,,,,,,,,,,,,,
SNOTEL:994_WA_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:995_WA_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:996_WA_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:998_WA_SNTL,71.5,,,,,,,,,,,,,,,,,,,
SNOTEL:999_WA_SNTL,35.9,,,,,,,,,,,,,,,,,,,
