,2/3/2022,2/10/2022,2/17/2022,2/24/2022,3/3/2022,3/10/2022,3/17/2022,3/24/2022,3/31/2022,4/7/2022,4/14/2022,4/21/2022,4/28/2022,5/5/2022,5/12/2022,5/19/2022,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
SNOTEL:839_CO_SNTL,3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:840_CO_SNTL,19.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:841_WA_SNTL,6.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:842_CO_SNTL,10.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:844_UT_SNTL,5.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:845_ID_SNTL,21.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:847_MT_SNTL,7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:848_CA_SNTL,21.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:849_NV_SNTL,7.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:850_MT_SNTL,13.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:851_WY_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:852_WY_SNTL,14.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:854_NM_SNTL,5.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:855_ID_SNTL,14.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:857_CO_SNTL,5.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:858_MT_SNTL,8.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:859_WY_SNTL,18.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:861_AZ_SNTL,2.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:862_MT_SNTL,12.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:863_WA_SNTL,17.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:864_UT_SNTL,7.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:865_UT_SNTL,5.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:868_WY_SNTL,16.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:869_CO_SNTL,9.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:871_ID_SNTL,7.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:872_WY_SNTL,3.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:873_OR_SNTL,6.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:874_CO_SNTL,24.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:876_MT_SNTL,5.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:877_AZ_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:878_WY_SNTL,10,,,,,,,,,,,,,,,,,,,,,
SNOTEL:895_ID_SNTL,8.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:896_UT_SNTL,10.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:897_WA_SNTL,22.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:899_WA_SNTL,21.5,,,,,,,,,,,,,,,,,,,,,
SNOTEL:901_MT_SNTL,19.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:902_AZ_SNTL,2.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:904_CO_SNTL,13.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:905_CO_SNTL,9.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:906_UT_SNTL,6.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:907_UT_SNTL,5.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:909_WA_SNTL,20.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:911_WA_SNTL,22.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:912_WA_SNTL,27.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:913_CO_SNTL,8.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:915_ID_SNTL,7.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:917_MT_SNTL,2.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:918_MT_SNTL,8.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:919_MT_SNTL,4.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:920_SD_SNTL,2.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:921_NM_SNTL,2.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:922_NM_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:923_WY_SNTL,7.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:924_MT_SNTL,6.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:925_OR_SNTL,10.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:926_ID_SNTL,14,,,,,,,,,,,,,,,,,,,,,
SNOTEL:927_AZ_SNTL,12.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:929_MT_SNTL,5.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:930_MT_SNTL,5.3,,,,,,,,,,,,,,,,,,,,,
SNOTEL:935_CO_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:936_CO_SNTL,2.4,,,,,,,,,,,,,,,,,,,,,
SNOTEL:937_CO_SNTL,5.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:939_CO_SNTL,1.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:941_WA_SNTL,0.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:942_WA_SNTL,13,,,,,,,,,,,,,,,,,,,,,
SNOTEL:945_OR_SNTL,1.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:972_UT_SNTL,9.7,,,,,,,,,,,,,,,,,,,,,
SNOTEL:974_WA_SNTL,22.9,,,,,,,,,,,,,,,,,,,,,
SNOTEL:975_WA_SNTL,13,,,,,,,,,,,,,,,,,,,,,
SNOTEL:976_OR_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:978_ID_SNTL,14.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:981_MT_SNTL,2.8,,,,,,,,,,,,,,,,,,,,,
SNOTEL:982_WY_SNTL,1.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:984_WA_SNTL,10.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:988_ID_SNTL,23.1,,,,,,,,,,,,,,,,,,,,,
SNOTEL:989_ID_SNTL,12.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:990_WA_SNTL,29.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:991_WA_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:992_UT_SNTL,6.2,,,,,,,,,,,,,,,,,,,,,
SNOTEL:994_WA_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:995_WA_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:996_WA_SNTL,,,,,,,,,,,,,,,,,,,,,,
SNOTEL:998_WA_SNTL,69.6,,,,,,,,,,,,,,,,,,,,,
SNOTEL:999_WA_SNTL,31.3,,,,,,,,,,,,,,,,,,,,,
